Category,Sentiment_Polarity
COMICS,0.38961938331729995
EVENTS,0.38454946953388125
MAPS_AND_NAVIGATION,0.3218888283140774
PARENTING,0.313461638316932
HEALTH_AND_FITNESS,0.3124300848291368
EDUCATION,0.3050420582739605
WEATHER,0.2982061292622851
PERSONALIZATION,0.27472509803096035
AUTO_AND_VEHICLES,0.2706668654062482
FOOD_AND_DRINK,0.2645436006609981
